,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
0,187,-37.804837,144.89055,106 Pilgrim Street,Seddon,8946000,house,2012,3,1,0,SC_043,2841,20024,271,17,0,hospital_056,1358,S_201,798
1,228,-37.792721,144.895531,110 Ballarat Road,Footscray,7710000,house,2014,4,1,1,SC_011,2147,20024,1146,17,0,hospital_003,565,S_201,919
2,247,-37.807611,144.896292,118 Albert Street,Seddon,6210000,house,2013,4,1,1,SC_011,3307,19997,164,14,0,hospital_003,1824,S_201,778
3,275,-37.79581833,144.9051971,12 Stirling Street,Footscray,9600000,house,2008,3,1,1,SC_011,1778,20025,611,14,0,hospital_003,1468,S_201,837
4,345,-37.797951,144.895935,14 Malden Street,Footscray,6570000,house,2012,2,1,0,SC_011,2482,20024,641,17,0,hospital_003,874,S_201,360
5,376,-37.7978574,144.8962965,15 Fitzroy Street,Footscray,10710000,house,2011,4,1,2,SC_011,2452,20024,669,17,0,hospital_003,888,S_201,355
6,440,-37.803143,144.889642,173 Buckley Street,Seddon,9660000,house,2016,3,1,0,SC_043,2690,20024,175,17,0,hospital_056,1154,S_201,782
7,493,-37.79494476,144.8966065,19 Federal Street,Footscray,2592000,house,2007,4,1,0,SC_011,2215,20025,896,14,0,hospital_003,723,S_201,657
8,519,-37.794046,144.883545,1A Dudley Street,Footscray,7920000,house,2015,2,1,1,SC_043,1938,20023,878,19,0,hospital_056,254,S_201,1474
9,562,-37.807442,144.895121,2/2A Pentland Parade,Seddon,11220000,house,2011,3,2,2,SC_043,3330,19997,180,14,0,hospital_003,1773,S_201,787
10,580,-37.797814,144.895821,20 Malden Street,Footscray,9450000,house,2015,2,1,1,SC_011,2479,20024,647,17,0,hospital_003,856,S_201,379
11,648,-37.801653,144.905521,22 Whitehall Street,Footscray,5880000,house,2013,3,1,0,SC_011,2339,20025,213,14,0,hospital_003,1783,S_201,668
12,698,-37.809127,144.887906,25 Browning Street,Seddon,6972000,house,2011,2,1,0,SC_043,2890,19997,683,14,0,hospital_056,1786,S_201,1288
13,729,-37.806728,144.888799,26 Station Road,Seddon,10680000,house,2014,3,2,1,SC_043,2806,20024,525,17,0,hospital_056,1530,S_201,1048
14,738,-37.793385,144.891077,26a Chatham Street,Footscray,4040000,house,2012,2,1,0,SC_085,2225,20024,1015,17,0,hospital_003,214,S_201,1021
15,811,-37.806258,144.893841,3 North Street,Seddon,5589000,house,2011,2,1,2,SC_043,3170,19997,345,14,0,hospital_056,1608,S_201,714
16,847,-37.792558,144.893274,302/133 Droop Street,Footscray,1920000,house,2014,1,1,0,SC_085,2155,20024,1118,17,0,hospital_003,366,S_201,1002
17,910,-37.798596,144.890786,356 Barkly Street,Footscray,7320000,house,2010,4,1,0,SC_043,2633,20024,439,17,0,hospital_003,723,S_201,679
18,915,-37.80275345,144.9045258,36 Bunbury Street,Footscray,7400000,house,2009,2,1,3,SC_011,2487,20025,219,14,0,hospital_003,1790,S_201,615
19,993,-37.796471,144.889055,4/155 Gordon Street,Footscray,7644000,house,2016,3,1,1,SC_043,2443,20023,678,19,0,hospital_056,448,S_201,920
20,997,-37.794227,144.891048,40 Creswick Street,Footscray,6325000,house,2012,4,2,1,SC_085,2318,20024,922,17,0,hospital_003,279,S_201,949
21,1056,-37.80928421,144.8873749,45 Hamilton Street,Seddon,5390000,house,2008,2,1,1,SC_043,2863,19997,730,14,0,hospital_056,1801,S_201,1333
22,1070,-37.809417,144.898721,46 Hyde Street,Seddon,7080000,house,2013,3,1,3,SC_011,3377,19997,272,14,0,hospital_003,2091,S_201,967
23,1150,-37.799927,144.88012,50 McDougall Drive,Footscray,12390000,house,2015,4,2,2,SC_043,1779,20023,503,19,0,hospital_056,926,S_201,1576
24,1234,-37.80372238,144.8916168,59 Windsor Street,Seddon,7174000,house,2009,2,1,0,SC_043,2875,20024,136,17,0,hospital_056,1271,S_201,652
25,1267,-37.809408,144.890689,60 Greig Street,Seddon,5440000,house,2015,2,1,2,SC_043,3108,19997,440,14,0,hospital_056,1854,S_201,1159
26,1418,-37.806886,144.884895,77 Williamstown Road,Seddon,8960000,house,2014,3,1,2,SC_043,2529,20023,566,19,0,hospital_056,1535,S_201,1340
27,1450,-37.79593658,144.9039002,8 Moore Street,Footscray,8775000,house,2009,3,1,2,SC_011,1853,20025,576,14,0,hospital_003,1363,S_201,745
28,1469,-37.80999,144.88958,80 Gamon Street,Seddon,7725000,house,2009,2,1,0,SC_043,3066,19997,546,14,0,hospital_056,1900,S_201,1268
29,1527,-37.791331,144.896175,9 Tait Street,Footscray,6948000,house,2012,4,3,1,SC_011,2019,20025,1249,14,0,hospital_003,627,S_201,1060
